Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
88	3	941.567509, 512.665492	-0.399729, 1.673468	-0.003924, -0.001962
89	1	640.000531, 360.000149	0.000011, 0.000004	0.000000, 0.000000
89	2	796.295410, 545.633024	-0.858748, 1.841386	-0.005557, -0.006499
89	3	941.163876, 514.336983	-0.403633, 1.671491	-0.003905, -0.001977
90	1	640.000542, 360.000153	0.000011, 0.000005	0.000000, 0.000000
90	2	795.431194, 547.467915	-0.864216, 1.834891	-0.005469, -0.006495
90	3	940.756357, 516.006483	-0.407519, 1.669500	-0.003886, -0.001991
91	1	640.000553, 360.000158	0.000011, 0.000005	0.000000, 0.000000
91	2	794.561597, 549.296315	-0.869597, 1.828400	-0.005381, -0.006491
91	3	940.344971, 517.673977	-0.411386, 1.667494	-0.003867, -0.002006
92	1	640.000563, 360.000162	0.000011, 0.000005	0.000000, 0.000000
92	2	793.686704, 551.118230	-0.874892, 1.821915	-0.005295, -0.006485
92	3	939.929737, 519.339452	-0.415233, 1.665475	-0.003848, -0.002020
93	1	640.000574, 360.000167	0.000011, 0.000005	0.000000, 0.000000
93	2	792.806603, 552.933666	-0.880102, 1.815437	-0.005209, -0.006478
93	3	939.510676, 521.002893	-0.419062, 1.663441	-0.003828, -0.002034
94	1	640.000585, 360.000172	0.000011, 0.000005	0.000000, 0.000000
94	2	791.921376, 554.742632	-0.885227, 1.808966	-0.005125, -0.006471
94	3	939.087805, 522.664287	-0.422871, 1.661394	-0.003809, -0.002047
95	1	640.000596, 360.000177	0.000011, 0.000005	0.000000, 0.000000
95	2	791.031108, 556.545136	-0.890268, 1.802504	-0.005041, -0.006462
95	3	938.661144, 524.323620	-0.426660, 1.659333	-0.003790, -0.002061
96	1	640.000607, 360.000182	0.000011, 0.000005	0.000000, 0.000000
96	2	790.135882, 558.341186	-0.895226, 1.796051	-0.004958, -0.006453
96	3	938.230714, 525.980878	-0.430431, 1.657259	-0.003770, -0.002074
97	1	640.000619, 360.000187	0.000011, 0.000005	0.000000, 0.000000
97	2	789.235779, 560.130794	-0.900103, 1.789608	-0.004877, -0.006443
97	3	937.796533, 527.636050	-0.434181, 1.655171	-0.003751, -0.002087
98	1	640.000630, 360.000192	0.000011, 0.000005	0.000000, 0.000000
98	2	788.330880, 561.913971	-0.904899, 1.783177	-0.004796, -0.006431
98	3	937.358620, 529.289121	-0.437912, 1.653071	-0.003731, -0.002100
99	1	640.000641, 360.000197	0.000011, 0.000005	0.000000, 0.000000
99	2	787.421266, 563.690728	-0.909614, 1.776757	-0.004716, -0.006419
99	3	936.916996, 530.940079	-0.441624, 1.650958	-0.003711, -0.002113
100	1	640.000653, 360.000202	0.000011, 0.000005	0.000000, 0.000000
100	2	786.507015, 565.461079	-0.914251, 1.770350	-0.004637, -0.006407
100	3	936.471681, 532.588912	-0.445316, 1.648833	-0.003692, -0.002125
101	1	640.000664, 360.000208	0.000011, 0.000005	0.000000, 0.000000
101	2	785.588205, 567.225036	-0.918810, 1.763957	-0.004559, -0.006393
101	3	936.022693, 534.235608	-0.448988, 1.646696	-0.003672, -0.002138
102	1	640.000676, 360.000213	0.000011, 0.000005	0.000000, 0.000000
102	2	784.664914, 568.982614	-0.923291, 1.757578	-0.004481, -0.006379
102	3	935.570053, 535.880154	-0.452640, 1.644546	-0.003652, -0.002150
103	1	640.000687, 360.000219	0.000012, 0.000005	0.000000, 0.000000
103	2	783.737218, 570.733829	-0.927696, 1.751215	-0.004405, -0.006364
103	3	935.113781, 537.522538	-0.456273, 1.642385	-0.003632, -0.002161
104	1	640.000699, 360.000224	0.000012, 0.000006	0.000000, 0.000000
104	2	782.805192, 572.478695	-0.932026, 1.744867	-0.004330, -0.006348
104	3	934.653895, 539.162750	-0.459885, 1.640212	-0.003613, -0.002173
105	1	640.000710, 360.000230	0.000012, 0.000006	0.000000, 0.000000
105	2	781.868911, 574.217230	-0.936281, 1.738535	-0.004255, -0.006332
105	3	934.190418, 540.800777	-0.463478, 1.638027	-0.003593, -0.002184
106	1	640.000722, 360.000235	0.000012, 0.000006	0.000000, 0.000000
106	2	780.928447, 575.949450	-0.940463, 1.732220	-0.004182, -0.006315
106	3	933.723367, 542.436609	-0.467051, 1.635832	-0.003573, -0.002196
107	1	640.000734, 360.000241	0.000012, 0.000006	0.000000, 0.000000
107	2	779.983875, 577.675373	-0.944573, 1.725923	-0.004109, -0.006297
107	3	933.252763, 544.070234	-0.470604, 1.633625	-0.003553, -0.002207
108	1	640.000746, 360.000247	0.000012, 0.000006	0.000000, 0.000000
108	2	779.035264, 579.395017	-0.948610, 1.719644	-0.004038, -0.006279
108	3	932.778627, 545.701642	-0.474136, 1.631408	-0.003533, -0.002217
109	1	640.000758, 360.000253	0.000012, 0.000006	0.000000, 0.000000
109	2	778.082687, 581.108401	-0.952577, 1.713384	-0.003967, -0.006260
109	3	932.300978, 547.330822	-0.477649, 1.629180	-0.003513, -0.002228
110	1	640.000770, 360.000259	0.000012, 0.000006	0.000000, 0.000000
110	2	777.126212, 582.815544	-0.956475, 1.707143	-0.003897, -0.006241
110	3	931.819836, 548.957763	-0.481142, 1.626942	-0.003493, -0.002238
111	1	640.000782, 360.000265	0.000012, 0.000006	0.000000, 0.000000
111	2	776.165909, 584.516466	-0.960303, 1.700922	-0.003828, -0.006221
111	3	931.335221, 550.582457	-0.484615, 1.624693	-0.003473, -0.002248
112	1	640.000794, 360.000271	0.000012, 0.000006	0.000000, 0.000000
112	2	775.201846, 586.211187	-0.964064, 1.694722	-0.003760, -0.006201
112	3	930.847154, 552.204891	-0.488067, 1.622435	-0.003453, -0.002258
113	1	640.000806, 360.000277	0.000012, 0.000006	0.000000, 0.000000
113	2	774.234089, 587.899729	-0.967757, 1.688542	-0.003693, -0.006180
113	3	930.355654, 553.825058	-0.491500, 1.620167	-0.003432, -0.002268
114	1	640.000818, 360.000284	0.000012, 0.000006	0.000000, 0.000000
114	2	773.262705, 589.582112	-0.971384, 1.682383	-0.003627, -0.006158
114	3	929.860742, 555.442947	-0.494912, 1.617889	-0.003412, -0.002278
115	1	640.000830, 360.000290	0.000012, 0.000006	0.000000, 0.000000
115	2	772.287758, 591.258359	-0.974946, 1.676247	-0.003562, -0.006137
115	3	929.362438, 557.058548	-0.498304, 1.615602	-0.003392, -0.002287
116	1	640.000843, 360.000296	0.000012, 0.000006	0.000000, 0.000000
116	2	771.309315, 592.928491	-0.978444, 1.670132	-0.003498, -0.006115
116	3	928.860762, 558.671854	-0.501676, 1.613305	-0.003372, -0.002296
117	1	640.000855, 360.000303	0.000012, 0.000007	0.000000, 0.000000
117	2	770.327437, 594.592531	-0.981878, 1.664040	-0.003434, -0.006092
117	3	928.355733, 560.282854	-0.505028, 1.611000	-0.003352, -0.002305
118	1	640.000867, 360.000310	0.000012, 0.000007	0.000000, 0.000000
118	2	769.342188, 596.250502	-0.985249, 1.657971	-0.003372, -0.006069
118	3	927.847373, 561.891540	-0.508360, 1.608686	-0.003332, -0.002314
119	1	640.000880, 360.000316	0.000012, 0.000007	0.000000, 0.000000
119	2	768.353628, 597.902428	-0.988559, 1.651925	-0.003310, -0.006046
119	3	927.335701, 563.497904	-0.511672, 1.606364	-0.003312, -0.002323
120	1	640.000892, 360.000323	0.000012, 0.000007	0.000000, 0.000000
120	2	767.361820, 599.548331	-0.991808, 1.645903	-0.003249, -0.006022
120	3	926.820738, 565.101937	-0.514963, 1.604033	-0.003292, -0.002331
121	1	640.000905, 360.000330	0.000013, 0.000007	0.000000, 0.000000
121	2	766.366823, 601.188236	-0.994997, 1.639905	-0.003189, -0.005998
