Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
46	1	640.000090, 360.000007	0.000005, 0.000001	0.000145, 0.000036
46	2	832.441398, 413.874975	-0.426416, 1.523863	-0.000121, -0.000033
46	3	957.034749, 402.994610	-0.168008, 1.238908	-0.000024, -0.000003
47	1	640.000094, 360.000008	0.000005, 0.000001	0.000145, 0.000037
47	2	832.114804, 415.015974	-0.435458, 1.521332	-0.000121, -0.000034
47	3	956.906020, 403.923422	-0.171639, 1.238416	-0.000024, -0.000003
48	1	640.000098, 360.000008	0.000005, 0.000001	0.000145, 0.000038
48	2	831.781440, 416.155034	-0.444486, 1.518747	-0.000120, -0.000034
48	3	956.774570, 404.851856	-0.175268, 1.237913	-0.000024, -0.000003
49	1	640.000102, 360.000009	0.000005, 0.000001	0.000144, 0.000039
49	2	831.441317, 417.292115	-0.453498, 1.516108	-0.000120, -0.000035
49	3	956.640398, 405.779906	-0.178895, 1.237399	-0.000024, -0.000003
50	1	640.000107, 360.000009	0.000006, 0.000001	0.000144, 0.000039
50	2	831.094446, 418.427177	-0.462494, 1.513415	-0.000120, -0.000036
50	3	956.503507, 406.707562	-0.182522, 1.236875	-0.000024, -0.000003
51	1	640.000111, 360.000010	0.000006, 0.000001	0.000144, 0.000040
51	2	830.740840, 419.560179	-0.471475, 1.510670	-0.000120, -0.000037
51	3	956.363897, 407.634818	-0.186146, 1.236340	-0.000024, -0.000004
52	1	640.000115, 360.000011	0.000006, 0.000001	0.000144, 0.000041
52	2	830.380510, 420.691082	-0.480440, 1.507870	-0.000120, -0.000037
52	3	956.221570, 408.561664	-0.189769, 1.235795	-0.000024, -0.000004
53	1	640.000119, 360.000011	0.000006, 0.000001	0.000143, 0.000042
53	2	830.013469, 421.819845	-0.489388, 1.505018	-0.000119, -0.000038
53	3	956.076527, 409.488093	-0.193391, 1.235239	-0.000024, -0.000004
54	1	640.000124, 360.000012	0.000006, 0.000001	0.000143, 0.000043
54	2	829.639730, 422.946429	-0.498319, 1.502112	-0.000119, -0.000039
54	3	955.928769, 410.414097	-0.197011, 1.234672	-0.000024, -0.000004
55	1	640.000129, 360.000013	0.000006, 0.000001	0.000143, 0.000043
55	2	829.259305, 424.070793	-0.507233, 1.499153	-0.000119, -0.000039
55	3	955.778297, 411.339668	-0.200629, 1.234095	-0.000024, -0.000004
56	1	640.000133, 360.000013	0.000006, 0.000001	0.000143, 0.000044
56	2	828.872208, 425.192899	-0.516130, 1.496141	-0.000119, -0.000040
56	3	955.625113, 412.264798	-0.204246, 1.233507	-0.000024, -0.000004
57	1	640.000138, 360.000014	0.000006, 0.000001	0.000142, 0.000045
57	2	828.478451, 426.312706	-0.525009, 1.493076	-0.000118, -0.000041
57	3	955.469217, 413.189479	-0.207861, 1.232908	-0.000024, -0.000004
58	1	640.000143, 360.000015	0.000006, 0.000001	0.000142, 0.000046
58	2	828.078049, 427.430175	-0.533870, 1.489959	-0.000118, -0.000042
58	3	955.310612, 414.113704	-0.211474, 1.232299	-0.000024, -0.000004
59	1	640.000148, 360.000016	0.000007, 0.000001	0.000142, 0.000046
59	2	827.671015, 428.545267	-0.542712, 1.486788	-0.000118, -0.000042
59	3	955.149298, 415.037463	-0.215085, 1.231679	-0.000024, -0.000004
60	1	640.000152, 360.000016	0.000007, 0.000001	0.000142, 0.000047
60	2	827.257363, 429.657941	-0.551536, 1.483566	-0.000118, -0.000043
60	3	954.985277, 415.960750	-0.218695, 1.231049	-0.000024, -0.000004
61	1	640.000158, 360.000017	0.000007, 0.000001	0.000141, 0.000048
61	2	826.837107, 430.768158	-0.560341, 1.480290	-0.000117, -0.000044
61	3	954.818551, 416.883556	-0.222302, 1.230408	-0.000024, -0.000004
62	1	640.000163, 360.000018	0.000007, 0.000001	0.000141, 0.000049
62	2	826.410262, 431.875880	-0.569126, 1.476962	-0.000117, -0.000044
62	3	954.649120, 417.805874	-0.225908, 1.229757	-0.000024, -0.000004
63	1	640.000168, 360.000019	0.000007, 0.000001	0.000141, 0.000049
63	2	825.976843, 432.981067	-0.577892, 1.473582	-0.000117, -0.000045
63	3	954.476985, 418.727695	-0.229512, 1.229095	-0.000024, -0.000004
64	1	640.000173, 360.000020	0.000007, 0.000001	0.000141, 0.000050
64	2	825.536865, 434.083680	-0.586638, 1.470150	-0.000117, -0.000046
64	3	954.302150, 419.649011	-0.233114, 1.228422	-0.000024, -0.000004
65	1	640.000178, 360.000021	0.000007, 0.000001	0.000140, 0.000051
65	2	825.090342, 435.183680	-0.595364, 1.466666	-0.000116, -0.000046
65	3	954.124614, 420.569816	-0.236714, 1.227739	-0.000024, -0.000005
66	1	640.000184, 360.000022	0.000007, 0.000001	0.000140, 0.000052
66	2	824.637290, 436.281027	-0.604069, 1.463130	-0.000116, -0.000047
66	3	953.944380, 421.490100	-0.240312, 1.227045	-0.000024, -0.000005
67	1	640.000189, 360.000023	0.000007, 0.000001	0.000140, 0.000053
67	2	824.177726, 437.375684	-0.612753, 1.459542	-0.000116, -0.000048
67	3	953.761448, 422.409855	-0.243908, 1.226341	-0.000024, -0.000005
68	1	640.000195, 360.000024	0.000007, 0.000001	0.000139, 0.000053
68	2	823.711664, 438.467611	-0.621416, 1.455903	-0.000116, -0.000049
68	3	953.575821, 423.329075	-0.247503, 1.225626	-0.000024, -0.000005
69	1	640.000201, 360.000025	0.000008, 0.000001	0.000139, 0.000054
69	2	823.239121, 439.556770	-0.630057, 1.452212	-0.000115, -0.000049
69	3	953.387501, 424.247751	-0.251094, 1.224901	-0.000024, -0.000005
70	1	640.000206, 360.000026	0.000008, 0.000001	0.000139, 0.000055
70	2	822.760113, 440.643122	-0.638677, 1.448469	-0.000115, -0.000050
70	3	953.196487, 425.165874	-0.254684, 1.224165	-0.000024, -0.000005
71	1	640.000212, 360.000027	0.000008, 0.000001	0.000139, 0.000056
